------
Drone: 1
id=0, command=command, response=ok, start_time=2023-06-14 17:38:58.073134, end_time=2023-06-14 17:38:58.097172, duration=0.024038
id=1, command=takeoff, response=ok, start_time=2023-06-14 17:39:04.986296, end_time=2023-06-14 17:39:09.431946, duration=4.44565
id=2, command=up 50, response=ok, start_time=2023-06-14 17:39:11.372192, end_time=2023-06-14 17:39:13.691125, duration=2.318933
id=3, command=down 60, response=ok, start_time=2023-06-14 17:39:17.555234, end_time=2023-06-14 17:39:20.661421, duration=3.106187
id=4, command=up 120, response=error Motor stop, start_time=2023-06-14 17:39:24.023570, end_time=2023-06-14 17:39:44.705452, duration=20.681882
id=5, command=down 30, response=None, start_time=2023-06-14 17:39:44.710495, end_time=None, duration=None
id=6, command=back 100, response=error Motor stop, start_time=2023-06-14 17:40:05.272605, end_time=2023-06-14 17:40:05.283170, duration=0.010565
id=7, command=forward 50, response=error Motor stop, start_time=2023-06-14 17:40:05.838330, end_time=2023-06-14 17:40:05.881975, duration=0.043645
id=8, command=down 90, response=error Motor stop, start_time=2023-06-14 17:40:06.402922, end_time=2023-06-14 17:40:06.446891, duration=0.043969
id=9, command=up 110, response=None, start_time=2023-06-14 17:40:07.028078, end_time=None, duration=None
id=10, command=ccw 360, response=error Motor stop, start_time=2023-06-14 17:40:27.602613, end_time=2023-06-14 17:40:27.651502, duration=0.048889
id=11, command=cw 50, response=None, start_time=2023-06-14 17:40:28.240179, end_time=None, duration=None
id=12, command=forward 100, response=error Motor stop, start_time=2023-06-14 17:40:48.781460, end_time=2023-06-14 17:40:48.906344, duration=0.124884
id=13, command=cw 60, response=error Motor stop, start_time=2023-06-14 17:40:49.503604, end_time=2023-06-14 17:40:49.594919, duration=0.091315
id=14, command=forward 100, response=error Motor stop, start_time=2023-06-14 17:40:50.172589, end_time=2023-06-14 17:40:50.205830, duration=0.033241
id=15, command=land, response=error, start_time=2023-06-14 17:40:50.748453, end_time=2023-06-14 17:40:50.753975, duration=0.005522
------
Drone: 2
id=0, command=command, response=ok, start_time=2023-06-14 17:38:58.074134, end_time=2023-06-14 17:38:58.097172, duration=0.023038
id=1, command=takeoff, response=ok, start_time=2023-06-14 17:39:05.145926, end_time=2023-06-14 17:39:09.772873, duration=4.626947
id=2, command=up 50, response=ok, start_time=2023-06-14 17:39:11.503919, end_time=2023-06-14 17:39:13.928615, duration=2.424696
id=3, command=ccw 360, response=ok, start_time=2023-06-14 17:39:17.661320, end_time=2023-06-14 17:39:24.258296, duration=6.596976
id=4, command=up 30, response=ok, start_time=2023-06-14 17:39:30.265042, end_time=2023-06-14 17:39:32.499941, duration=2.234899
id=5, command=forward 100, response=ok, start_time=2023-06-14 17:39:36.814729, end_time=2023-06-14 17:39:39.522038, duration=2.707309
id=6, command=back 250, response=error No valid imu, start_time=2023-06-14 17:39:43.321923, end_time=2023-06-14 17:39:46.710022, duration=3.388099
id=7, command=up 20, response=ok, start_time=2023-06-14 17:39:49.665898, end_time=2023-06-14 17:39:51.512526, duration=1.846628
id=8, command=down 90, response=ok, start_time=2023-06-14 17:39:55.956261, end_time=2023-06-14 17:39:58.537425, duration=2.581164
id=9, command=right 50, response=ok, start_time=2023-06-14 17:40:02.538316, end_time=2023-06-14 17:40:04.603380, duration=2.065064
id=10, command=up 50, response=ok, start_time=2023-06-14 17:40:05.218603, end_time=2023-06-14 17:40:07.658537, duration=2.439934
id=11, command=left 50, response=ok, start_time=2023-06-14 17:40:08.218023, end_time=2023-06-14 17:40:10.501382, duration=2.283359
id=12, command=down 50, response=ok, start_time=2023-06-14 17:40:11.074989, end_time=2023-06-14 17:40:13.216957, duration=2.141968
id=13, command=ccw 80, response=ok, start_time=2023-06-14 17:40:13.859228, end_time=2023-06-14 17:40:16.227417, duration=2.368189
id=14, command=forward 100, response=ok, start_time=2023-06-14 17:40:18.804878, end_time=2023-06-14 17:40:21.522993, duration=2.718115
id=15, command=cw 60, response=ok, start_time=2023-06-14 17:40:25.131413, end_time=2023-06-14 17:40:26.578500, duration=1.447087
