------
Drone: 1
id=0, command=command, response=ok, start_time=2023-06-14 17:27:29.539545, end_time=2023-06-14 17:27:29.550558, duration=0.011013
id=1, command=takeoff, response=ok, start_time=2023-06-14 17:27:36.569912, end_time=2023-06-14 17:27:41.644049, duration=5.074137
id=2, command=up 50, response=ok, start_time=2023-06-14 17:27:42.995451, end_time=2023-06-14 17:27:45.435869, duration=2.440418
id=3, command=down 60, response=ok, start_time=2023-06-14 17:27:46.250159, end_time=2023-06-14 17:27:49.038892, duration=2.788733
id=4, command=up 120, response=ok, start_time=2023-06-14 17:27:52.757872, end_time=2023-06-14 17:27:55.703542, duration=2.94567
id=5, command=down 30, response=ok, start_time=2023-06-14 17:27:56.640393, end_time=2023-06-14 17:27:58.991268, duration=2.350875
id=6, command=back 100, response=ok, start_time=2023-06-14 17:28:02.890248, end_time=2023-06-14 17:28:05.765139, duration=2.874891
id=7, command=forward 50, response=ok, start_time=2023-06-14 17:28:06.305149, end_time=2023-06-14 17:28:08.578144, duration=2.272995
id=8, command=down 90, response=ok, start_time=2023-06-14 17:28:12.078657, end_time=2023-06-14 17:28:14.841120, duration=2.762463
id=9, command=up 110, response=ok, start_time=2023-06-14 17:28:16.043403, end_time=2023-06-14 17:28:18.798453, duration=2.75505
id=10, command=ccw 360, response=ok, start_time=2023-06-14 17:28:19.525390, end_time=2023-06-14 17:28:26.121557, duration=6.596167
id=11, command=cw 50, response=ok, start_time=2023-06-14 17:28:28.133437, end_time=2023-06-14 17:28:29.481578, duration=1.348141
id=12, command=forward 100, response=ok, start_time=2023-06-14 17:28:31.224860, end_time=2023-06-14 17:28:33.994575, duration=2.769715
id=13, command=cw 60, response=ok, start_time=2023-06-14 17:28:37.459471, end_time=2023-06-14 17:28:39.241500, duration=1.782029
id=14, command=forward 100, response=ok, start_time=2023-06-14 17:28:39.813874, end_time=2023-06-14 17:28:42.589032, duration=2.775158
id=15, command=land, response=ok, start_time=2023-06-14 17:28:43.576189, end_time=2023-06-14 17:28:46.951598, duration=3.375409
------
Drone: 2
id=0, command=command, response=ok, start_time=2023-06-14 17:27:29.540542, end_time=2023-06-14 17:27:29.569749, duration=0.029207
id=1, command=takeoff, response=ok, start_time=2023-06-14 17:27:36.720882, end_time=2023-06-14 17:27:41.377988, duration=4.657106
id=2, command=up 50, response=ok, start_time=2023-06-14 17:27:43.098819, end_time=2023-06-14 17:27:45.539392, duration=2.440573
id=3, command=up 30, response=ok, start_time=2023-06-14 17:27:46.325987, end_time=2023-06-14 17:27:48.204916, duration=1.878929
