------
Drone: 1
id=0, command=command, response=ok, start_time=2023-06-14 17:34:39.886832, end_time=2023-06-14 17:34:39.904416, duration=0.017584
id=1, command=takeoff, response=ok, start_time=2023-06-14 17:34:47.166468, end_time=2023-06-14 17:34:51.029196, duration=3.862728
id=2, command=up 50, response=ok, start_time=2023-06-14 17:34:53.406795, end_time=2023-06-14 17:34:55.786012, duration=2.379217
id=3, command=up 30, response=ok, start_time=2023-06-14 17:34:56.857904, end_time=2023-06-14 17:34:58.668211, duration=1.810307
id=4, command=down 60, response=ok, start_time=2023-06-14 17:35:03.094100, end_time=2023-06-14 17:35:05.516708, duration=2.422608
id=5, command=up 60, response=ok, start_time=2023-06-14 17:35:06.785716, end_time=2023-06-14 17:35:09.148728, duration=2.363012
id=6, command=forward 100, response=ok, start_time=2023-06-14 17:35:16.645832, end_time=2023-06-14 17:35:19.327453, duration=2.681621
id=7, command=down 20, response=ok, start_time=2023-06-14 17:35:20.924784, end_time=2023-06-14 17:35:22.952368, duration=2.027584
id=8, command=up 20, response=ok, start_time=2023-06-14 17:35:24.500334, end_time=2023-06-14 17:35:26.522511, duration=2.022177
id=9, command=right 50, response=error No valid imu, start_time=2023-06-14 17:35:28.081288, end_time=2023-06-14 17:35:28.917063, duration=0.835775
id=10, command=up 50, response=ok, start_time=2023-06-14 17:35:29.482392, end_time=2023-06-14 17:35:31.926593, duration=2.444201
id=11, command=left 50, response=ok, start_time=2023-06-14 17:35:32.495855, end_time=2023-06-14 17:35:34.585600, duration=2.089745
id=12, command=down 50, response=ok, start_time=2023-06-14 17:35:35.154289, end_time=2023-06-14 17:35:37.596528, duration=2.442239
id=13, command=cw 130, response=ok, start_time=2023-06-14 17:35:38.182481, end_time=2023-06-14 17:35:41.114431, duration=2.93195
id=14, command=forward 100, response=ok, start_time=2023-06-14 17:35:41.812905, end_time=2023-06-14 17:35:44.526864, duration=2.713959
