------
Drone: 1
id=0, command=command, response=ok, start_time=2023-06-15 16:00:09.529990, end_time=2023-06-15 16:00:09.843802, duration=0.313812
id=1, command=takeoff, response=ok, start_time=2023-06-15 16:00:16.492548, end_time=2023-06-15 16:00:22.800416, duration=6.307868
id=2, command=up 50, response=ok, start_time=2023-06-15 16:00:23.326382, end_time=2023-06-15 16:00:25.759230, duration=2.432848
id=3, command=up 30, response=ok, start_time=2023-06-15 16:00:28.858699, end_time=2023-06-15 16:00:31.050896, duration=2.192197
id=4, command=down 60, response=ok, start_time=2023-06-15 16:00:35.223654, end_time=2023-06-15 16:00:37.897993, duration=2.674339
id=5, command=up 60, response=ok, start_time=2023-06-15 16:00:38.861815, end_time=2023-06-15 16:00:41.271114, duration=2.409299
id=6, command=forward 100, response=ok, start_time=2023-06-15 16:00:49.320463, end_time=2023-06-15 16:00:52.055231, duration=2.734768
id=7, command=down 20, response=ok, start_time=2023-06-15 16:00:53.827070, end_time=2023-06-15 16:00:56.470238, duration=2.643168
id=8, command=up 20, response=ok, start_time=2023-06-15 16:00:57.698019, end_time=2023-06-15 16:00:59.645730, duration=1.947711
id=9, command=right 50, response=ok, start_time=2023-06-15 16:01:01.158857, end_time=2023-06-15 16:01:03.258981, duration=2.100124
id=10, command=up 50, response=ok, start_time=2023-06-15 16:01:03.865415, end_time=2023-06-15 16:01:06.251817, duration=2.386402
id=11, command=left 50, response=ok, start_time=2023-06-15 16:01:06.905339, end_time=2023-06-15 16:01:09.068468, duration=2.163129
id=12, command=down 50, response=ok, start_time=2023-06-15 16:01:09.589204, end_time=2023-06-15 16:01:12.382465, duration=2.793261
id=13, command=cw 130, response=ok, start_time=2023-06-15 16:01:12.953026, end_time=2023-06-15 16:01:15.799012, duration=2.845986
id=14, command=forward 100, response=error Not joystick, start_time=2023-06-15 16:01:16.601876, end_time=2023-06-15 16:01:17.131136, duration=0.52926
id=15, command=cw 60, response=ok, start_time=2023-06-15 16:01:20.762264, end_time=2023-06-15 16:01:22.321280, duration=1.559016
id=16, command=forward 100, response=ok, start_time=2023-06-15 16:01:23.620308, end_time=2023-06-15 16:01:26.203270, duration=2.582962
id=17, command=land, response=ok, start_time=2023-06-15 16:01:27.565960, end_time=2023-06-15 16:01:31.112800, duration=3.54684
------
Drone: 2
id=0, command=command, response=ok, start_time=2023-06-15 16:00:09.529990, end_time=2023-06-15 16:00:09.859238, duration=0.329248
id=1, command=takeoff, response=ok, start_time=2023-06-15 16:00:16.435217, end_time=2023-06-15 16:00:25.196210, duration=8.760993
id=2, command=up 50, response=ok, start_time=2023-06-15 16:00:25.721168, end_time=2023-06-15 16:00:28.169658, duration=2.44849
id=3, command=down 30, response=ok, start_time=2023-06-15 16:00:28.809065, end_time=2023-06-15 16:00:31.322612, duration=2.513547
id=4, command=up 60, response=ok, start_time=2023-06-15 16:00:35.373081, end_time=2023-06-15 16:00:37.897993, duration=2.524912
id=5, command=ccw 360, response=ok, start_time=2023-06-15 16:00:38.953083, end_time=2023-06-15 16:00:45.576518, duration=6.623435
id=6, command=forward 100, response=ok, start_time=2023-06-15 16:00:49.256249, end_time=2023-06-15 16:00:52.277138, duration=3.020889
id=7, command=down 20, response=ok, start_time=2023-06-15 16:00:53.797563, end_time=2023-06-15 16:00:55.211470, duration=1.413907
id=8, command=up 20, response=ok, start_time=2023-06-15 16:00:57.668485, end_time=2023-06-15 16:01:00.268653, duration=2.600168
id=9, command=right 50, response=ok, start_time=2023-06-15 16:01:01.231525, end_time=2023-06-15 16:01:03.707502, duration=2.475977
id=10, command=up 50, response=ok, start_time=2023-06-15 16:01:04.297274, end_time=2023-06-15 16:01:07.137563, duration=2.840289
id=11, command=left 50, response=ok, start_time=2023-06-15 16:01:07.738528, end_time=2023-06-15 16:01:09.909451, duration=2.170923
id=12, command=down 50, response=ok, start_time=2023-06-15 16:01:10.420037, end_time=2023-06-15 16:01:12.881592, duration=2.461555
id=13, command=cw 90, response=ok, start_time=2023-06-15 16:01:13.395929, end_time=2023-06-15 16:01:15.473981, duration=2.078052
id=14, command=forward 100, response=ok, start_time=2023-06-15 16:01:16.485871, end_time=2023-06-15 16:01:18.903339, duration=2.417468
id=15, command=cw 60, response=ok, start_time=2023-06-15 16:01:20.712610, end_time=2023-06-15 16:01:22.487873, duration=1.775263
id=16, command=forward 100, response=ok, start_time=2023-06-15 16:01:23.471339, end_time=2023-06-15 16:01:26.158947, duration=2.687608
id=17, command=land, response=ok, start_time=2023-06-15 16:01:27.538868, end_time=2023-06-15 16:01:31.112800, duration=3.573932
------
Drone: 3
id=0, command=command, response=ok, start_time=2023-06-15 16:00:09.529990, end_time=2023-06-15 16:00:09.863715, duration=0.333725
id=1, command=takeoff, response=ok, start_time=2023-06-15 16:00:16.466287, end_time=2023-06-15 16:00:22.981533, duration=6.515246
id=2, command=up 50, response=ok, start_time=2023-06-15 16:00:23.519552, end_time=2023-06-15 16:00:26.049687, duration=2.530135
id=3, command=down 60, response=ok, start_time=2023-06-15 16:00:28.820522, end_time=2023-06-15 16:00:31.879535, duration=3.059013
id=4, command=up 120, response=ok, start_time=2023-06-15 16:00:35.256718, end_time=2023-06-15 16:00:38.166872, duration=2.910154
id=5, command=down 30, response=ok, start_time=2023-06-15 16:00:38.813222, end_time=2023-06-15 16:00:41.114829, duration=2.301607
id=6, command=back 100, response=ok, start_time=2023-06-15 16:00:45.299268, end_time=2023-06-15 16:00:48.062718, duration=2.76345
id=7, command=forward 50, response=ok, start_time=2023-06-15 16:00:49.195623, end_time=2023-06-15 16:00:51.449556, duration=2.253933
id=8, command=down 90, response=ok, start_time=2023-06-15 16:00:53.942195, end_time=2023-06-15 16:00:56.920379, duration=2.978184
id=9, command=up 110, response=ok, start_time=2023-06-15 16:00:57.718676, end_time=2023-06-15 16:01:00.493813, duration=2.775137
id=10, command=ccw 360, response=error No valid imu, start_time=2023-06-15 16:01:01.061654, end_time=2023-06-15 16:01:05.110194, duration=4.04854
